Title,Rank,Artist,URL,Trend,Streams,Streams increase since last release,Weeks in top 200,Consecutive weeks in top 200,Best rank,Prior rank,Rank change,Up or down,Song rank in next top 200 release,Streams in next release,In next release
i'm so tired...,98,"Lauv, Troye Sivan",https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,MOVE_UP,"320,518","-34,391",135,135,22,104,-6,1,89,293134,1
I THINK,121,"Tyler, The Creator",https://open.spotify.com/track/4f8Mh5wuWHOsfXtzjrJB3t,MOVE_DOWN,"294,392","-39,969",23,23,2,116,5,-1,106,266281,1
All Girls Are The Same,134,Juice WRLD,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,MOVE_UP,"278,803","-13,724",180,180,62,150,-16,1,107,264822,1
CIVIL WAR - Bonus,158,Russ,https://open.spotify.com/track/5tmu5pAFHkUSl8Fo8ncyA4,MOVE_DOWN,"262,144","-29,834",15,12,94,151,7,-1,151,234396,1
Young Dumb & Broke,164,Khalid,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,MOVE_UP,"253,492","-17,519",784,165,5,172,-8,1,148,234828,1
"Let Me Go (with Alesso, Florida Georgia Line & watt)",187,Hailee Steinfeld,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p,SAME_POSITION,"229,489","-26,061",103,33,51,187,0,0,179,208329,1
In My Feelings,190,Drake,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,NEW_ENTRY,"228,192","128,192",305,1,1,201,-11,1,183,205331,1
EARFQUAKE,5,"Tyler, The Creator",https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,MOVE_UP,"950,326","-93,915",24,24,1,6,-1,1,5,1021107,1
Never Really Over,22,Katy Perry,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,MOVE_DOWN,"566,460","-96,769",10,10,10,20,2,-1,20,632523,1
SOS (feat. Aloe Blacc),33,Avicii,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,MOVE_DOWN,"458,445","-84,436",3,3,24,26,7,-1,36,493846,1
lovely (with Khalid),48,Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,MOVE_UP,"399,382","-26,697",256,25,18,57,-9,1,42,453738,1
Without Me,61,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,MOVE_UP,"357,017","-35,416",249,249,5,67,-6,1,60,392227,1
Act Up,74,City Girls,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h,MOVE_UP,"329,672","-31,984",66,66,61,78,-4,1,84,327393,1
Beautiful Crazy,76,Luke Combs,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,MOVE_UP,"315,300","-43,465",328,140,54,83,-7,1,78,334529,1
Rollercoaster,92,Jonas Brothers,https://open.spotify.com/track/7dxKdQC9Vo1hDxIUnt1z0Q,MOVE_DOWN,"285,603","-112,903",3,3,38,65,27,-1,74,341952,1
I Like It,96,"Cardi B, Bad Bunny, J Balvin",https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,MOVE_UP,"276,753","-36,820",430,430,2,103,-7,1,115,281051,1
Armed And Dangerous,101,Juice WRLD,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,MOVE_UP,"272,565","-20,469",182,182,17,123,-22,1,105,286866,1
Bohemian Rhapsody - Remastered 2011,108,Queen,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,MOVE_UP,"263,161","-25,261",75,75,75,126,-18,1,148,256903,1
Love Me Less (feat. Quinn XCII),114,MAX,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ,MOVE_UP,"257,486","-38,466",35,35,61,118,-4,1,102,290027,1
changes,180,XXXTENTACION,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,NEW_ENTRY,"207,421","107,421",447,1,4,201,-21,1,187,219854,1
RUNNING OUT OF TIME,195,"Tyler, The Creator",https://open.spotify.com/track/5QvBXUm5MglLJ3iBfTX2Wo,MOVE_DOWN,"200,718","-22,523",24,24,4,194,1,-1,191,215864,1
Pure Water (with Migos),27,Mustard,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,MOVE_DOWN,"551,205","34,443",144,144,11,26,1,-1,26,569434,1
Mother's Daughter,34,Miley Cyrus,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,MOVE_UP,"496,862","60,172",11,11,9,36,-2,1,30,522006,1
Eastside (with Halsey & Khalid),45,benny blanco,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,SAME_POSITION,"448,407","42,676",186,186,21,45,0,0,43,463534,1
High Hopes,77,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,MOVE_UP,"336,922","29,077",354,354,12,79,-2,1,75,344839,1
ZEZE (feat. Travis Scott & Offset),92,Kodak Black,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,MOVE_DOWN,"314,713","10,367",179,179,3,82,10,-1,86,321978,1
Jocelyn Flores,97,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,MOVE_DOWN,"301,319","17,237",655,655,2,93,4,-1,98,297095,1
Juice,108,Lizzo,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl,MOVE_DOWN,"285,722","15,741",53,53,57,102,6,-1,96,297857,1
Trust,155,Jonas Brothers,https://open.spotify.com/track/5MoU7TaAvgBa8W0XVwXAd7,MOVE_UP,"252,211","49,902",4,4,61,189,-34,1,189,216791,1
Out Tha Mud,178,Roddy Ricch,https://open.spotify.com/track/7jI9cnrZof9mRNpIsA7QQN,MOVE_DOWN,"224,653","13,417",3,3,175,175,3,-1,201,100000,0
Please Tell Me,186,Future,https://open.spotify.com/track/4ANFPo7dzs2DdPuONXC9bp,MOVE_DOWN,"220,338","-22,570",4,4,47,141,45,-1,201,100000,0
RUNNING OUT OF TIME,191,"Tyler, The Creator",https://open.spotify.com/track/5QvBXUm5MglLJ3iBfTX2Wo,MOVE_UP,"215,864","15,146",25,25,4,195,-4,1,200,211417,1
Let Me Down Slowly,193,Alec Benjamin,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,NEW_ENTRY,"213,545","113,545",144,1,33,201,-8,1,190,216438,1
Swervin (feat. 6ix9ine),22,A Boogie Wit da Hoodie,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,SAME_POSITION,"623,525","8,524",173,173,6,22,0,0,20,639772,1
Mother's Daughter,30,Miley Cyrus,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,MOVE_UP,"522,006","25,144",12,12,9,34,-4,1,31,521688,1
Without Me,58,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,MOVE_UP,"399,537","7,310",251,251,5,60,-2,1,60,400506,1
SAD!,69,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,MOVE_UP,"363,072",-938,453,453,1,71,-2,1,70,366703,1
Love Me Less (feat. Quinn XCII),87,MAX,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ,MOVE_UP,"320,424","30,397",37,37,61,102,-15,1,87,329301,1
God's Country,100,Blake Shelton,https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K,MOVE_UP,"295,508","7,511",37,31,83,104,-4,1,101,295958,1
3 Nights,127,Dominic Fike,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,MOVE_UP,"273,487","11,959",76,61,40,142,-15,1,125,274181,1
Fuck Love (feat. Trippie Redd),149,XXXTENTACION,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,MOVE_UP,"254,287","-2,518",656,656,5,150,-1,1,140,258246,1
bellyache,156,Billie Eilish,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,MOVE_UP,"248,722","4,103",221,168,39,161,-5,1,157,241846,1
RUNNING OUT OF TIME,200,"Tyler, The Creator",https://open.spotify.com/track/5QvBXUm5MglLJ3iBfTX2Wo,MOVE_DOWN,"211,417","-4,447",26,26,4,191,9,-1,199,209455,1
MIDDLE CHILD,14,J. Cole,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,MOVE_UP,"755,594","13,094",140,140,1,15,-1,1,14,742186,1
Murder On My Mind,33,YNW Melly,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,MOVE_DOWN,"517,851",-680,260,169,4,32,1,-1,32,505316,1
Someone You Loved,37,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,SAME_POSITION,"500,168","6,457",27,27,30,37,0,0,42,452148,1
Faucet Failure,68,Ski Mask The Slump God,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,SAME_POSITION,"374,198","-1,955",190,169,25,68,0,0,70,358765,1
Otro Trago,79,"Sech, Darell",https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,MOVE_UP,"339,999","9,671",27,27,79,84,-5,1,71,353818,1
Ric Flair Drip (& Metro Boomin),131,Offset,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,MOVE_UP,"267,494","2,516",589,169,4,134,-3,1,137,259604,1
Be Alright,138,Dean Lewis,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,MOVE_DOWN,"261,909","-2,590",36,36,87,135,3,-1,138,259058,1
The Middle,149,"Zedd, Maren Morris, Grey",https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,MOVE_UP,"251,098","1,022",364,103,5,154,-5,1,151,240459,1
This Feeling,164,"The Chainsmokers, Kelsea Ballerini",https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,MOVE_UP,"232,436","6,566",160,3,92,176,-12,1,172,222114,1
No Me Conoce - Remix,186,"Jhay Cortez, J Balvin, Bad Bunny",https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,NEW_ENTRY,"216,051","116,051",1,1,186,201,-15,1,179,218080,1
Night Shift,187,Jon Pardi,https://open.spotify.com/track/0bPnT6i9H1p8Vd85GS6Z7I,MOVE_UP,"215,891",117,12,5,167,191,-4,1,192,209150,1
No Guidance (feat. Drake),5,Chris Brown,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc,SAME_POSITION,"1,035,289","-37,936",6,6,5,5,0,0,3,1259463,1
Heaven,23,Avicii,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ,MOVE_DOWN,"586,378","-51,427",7,7,12,21,2,-1,32,557806,1
bury a friend,37,Billie Eilish,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,MOVE_DOWN,"486,025","-14,704",77,77,4,36,1,-1,39,504044,1
Happier,46,"Marshmello, Bastille",https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,MOVE_UP,"445,492","-5,531",301,301,5,48,-2,1,46,463626,1
Shotta Flow,52,NLE Choppa,https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77,MOVE_DOWN,"424,536","-18,402",87,83,43,49,3,-1,50,439154,1
a lot,57,21 Savage,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,MOVE_DOWN,"400,444","-16,274",175,175,2,54,3,-1,59,411977,1
Whiskey Glasses,62,Morgan Wallen,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,MOVE_DOWN,"383,916","-10,317",92,69,58,61,1,-1,70,381796,1
"break up with your girlfriend, i'm bored",63,Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,SAME_POSITION,"381,221","-11,540",126,126,1,63,0,0,64,399694,1
Rescue Me,75,OneRepublic,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,MOVE_DOWN,"337,442","-56,159",28,28,51,62,13,-1,85,343063,1
I Fall Apart,110,Post Malone,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,MOVE_UP,"280,252","-2,580",636,635,2,116,-6,1,135,282192,1
All Girls Are The Same,115,Juice WRLD,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,MOVE_DOWN,"276,853","-7,081",185,185,62,114,1,-1,131,284443,1
The Middle,151,"Zedd, Maren Morris, Grey",https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,MOVE_DOWN,"240,459","-10,639",365,104,5,149,2,-1,162,252796,1
Nice For What,171,Drake,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,MOVE_UP,"222,566","-3,144",324,3,10,172,-1,1,165,249144,1
Please Me,173,"Cardi B, Bruno Mars",https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,SAME_POSITION,"222,014","-3,439",119,119,10,173,0,0,188,232641,1
Cross Me (feat. Chance the Rapper & PnB Rock),33,Ed Sheeran,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR,MOVE_DOWN,"528,386","16,901",22,22,8,30,3,-1,38,471396,1
Drip Too Hard (Lil Baby & Gunna),37,Lil Baby,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,MOVE_DOWN,"524,856","20,290",253,253,1,33,4,-1,33,505684,1
Baby Sitter (feat. Offset),60,DaBaby,https://open.spotify.com/track/7f1zjZG77S891Uv4O68yfk,MOVE_DOWN,"409,020","16,179",35,35,57,59,1,-1,57,394531,1
A Brand New Day (BTS World Original Soundtrack) [Pt. 2],79,"BTS, Zara Larsson",https://open.spotify.com/track/5XkyZyKMdFungjDb9cUKc3,NEW_ENTRY,"351,996","251,996",1,1,79,201,-122,1,201,100000,0
Act Up,80,City Girls,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h,MOVE_DOWN,"350,403","17,047",71,71,61,77,3,-1,75,347731,1
Youngblood,115,5 Seconds of Summer,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,MOVE_DOWN,"296,508","5,688",364,171,12,96,19,-1,117,276103,1
God's Country,116,Blake Shelton,https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K,MOVE_DOWN,"296,017","11,165",40,34,83,103,13,-1,112,281369,1
i love you,137,Billie Eilish,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,MOVE_DOWN,"280,599","-3,157",78,78,14,105,32,-1,140,255256,1
Boy With Luv (feat. Halsey),140,BTS,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,MOVE_DOWN,"275,409","12,969",64,64,4,132,8,-1,146,247596,1
Be Alright,151,Dean Lewis,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,MOVE_DOWN,"261,899","2,841",38,38,87,138,13,-1,150,242851,1
You Need To Calm Down,2,Taylor Swift,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,MOVE_DOWN,"1,519,609","-940,052",2,2,1,1,1,-1,3,1076008,1
Wow.,19,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,MOVE_UP,"693,575","-36,817",174,174,1,20,-1,1,19,593985,1
Happier,47,"Marshmello, Bastille",https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,MOVE_DOWN,"442,604","-21,022",303,303,5,46,1,-1,44,393755,1
Con Calma,88,"Daddy Yankee, Snow",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,MOVE_UP,"321,965","-13,001",128,128,43,89,-1,1,93,277851,1
Love Me Less (feat. Quinn XCII),114,MAX,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ,MOVE_DOWN,"277,435","-44,153",41,41,61,95,19,-1,130,233964,1
Boy With Luv (feat. Halsey),146,BTS,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,MOVE_DOWN,"247,596","-27,813",65,65,4,140,6,-1,137,226483,1
Freaky,147,Tory Lanez,https://open.spotify.com/track/7EAaSaj1OgZgMX5yZyFXFC,MOVE_UP,"246,459","1,238",16,16,101,171,-24,1,156,209258,1
Find U Again (feat. Camila Cabello),155,Mark Ronson,https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX,MOVE_DOWN,"239,970","-47,287",16,16,21,126,29,-1,161,205688,1
HUMBLE.,159,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,MOVE_UP,"235,485","-12,170",802,172,1,169,-10,1,167,201949,1
goosebumps,173,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,MOVE_UP,"226,970","-5,875",890,8,16,187,-14,1,164,202705,1
bellyache,175,Billie Eilish,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,SAME_POSITION,"225,500","-15,627",225,172,39,175,0,0,145,216716,1
Delicate,177,Taylor Swift,https://open.spotify.com/track/5sOch9Cf4uxcMtwFzMtNqQ,MOVE_DOWN,"223,906","-91,142",6,2,97,97,80,-1,201,100000,0
Sucker,18,Jonas Brothers,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,SAME_POSITION,"595,637","-114,675",10,10,10,18,0,0,18,682618,1
If I Can't Have You,20,Shawn Mendes,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,MOVE_UP,"591,834","-94,985",45,45,3,21,-1,1,16,700868,1
Shallow,79,"Lady Gaga, Bradley Cooper",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,MOVE_UP,"294,531","-31,649",253,173,6,86,-7,1,81,317210,1
Beautiful Crazy,82,Luke Combs,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,MOVE_UP,"291,059","-37,951",335,147,54,85,-3,1,85,311956,1
Feeling,100,Juice WRLD,https://open.spotify.com/track/2Jh3UqxnHJMyzMzku4uOtE,MOVE_UP,"257,812","-31,501",82,48,34,104,-4,1,101,288793,1
I Fall Apart,109,Post Malone,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,MOVE_UP,"248,762","-19,823",639,638,2,126,-17,1,110,273646,1
Worth It,111,YK Osiris,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2,MOVE_UP,"246,972","-27,904",106,106,81,122,-11,1,120,264532,1
Tequila,120,Dan + Shay,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y,MOVE_UP,"241,888","-30,991",350,173,55,125,-5,1,126,260258,1
Here With Me,141,"Marshmello, CHVRCHES",https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,MOVE_DOWN,"221,004","-46,608",101,101,15,127,14,-1,130,256539,1
Just Us (feat. SZA),147,DJ Khaled,https://open.spotify.com/track/0BnTBAGmr9FtYwkZrwKhwS,MOVE_DOWN,"216,212","-42,702",31,31,31,135,12,-1,148,240248,1
Nice For What,160,Drake,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,MOVE_DOWN,"206,203","-42,804",327,6,10,145,15,-1,175,215981,1
"Go Loko (feat. Tyga, Jon Z)",19,YG,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,MOVE_DOWN,"681,212","48,395",25,25,14,16,3,-1,19,691170,1
Omertà,20,Drake,https://open.spotify.com/track/3kCwyvhvVTyehIzYN2I0nF,MOVE_DOWN,"664,559","-117,797",3,3,3,13,7,-1,32,512246,1
Call You Mine (feat. Bebe Rexha),26,The Chainsmokers,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR,MOVE_UP,"568,442","114,318",18,18,20,33,-7,1,24,588552,1
Mother's Daughter,49,Miley Cyrus,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,MOVE_UP,"422,591","71,086",18,18,9,54,-5,1,52,430040,1
SICKO MODE,50,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,MOVE_DOWN,"422,292","26,655",319,319,1,43,7,-1,47,436633,1
"break up with your girlfriend, i'm bored",64,Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,SAME_POSITION,"365,083","33,325",130,130,1,64,0,0,66,377368,1
Better Now,68,Post Malone,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,MOVE_DOWN,"353,718","22,252",417,417,1,65,3,-1,73,360454,1
Moonlight,88,XXXTENTACION,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,MOVE_DOWN,"308,883","18,649",459,459,2,83,5,-1,60,394043,1
Con Calma,96,"Daddy Yankee, Snow",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,MOVE_DOWN,"296,861","19,010",130,130,43,93,3,-1,95,304042,1
The Git Up,99,Blanco Brown,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm,MOVE_DOWN,"291,516","30,758",5,5,98,98,1,-1,104,292107,1
Mo Bamba,109,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,MOVE_DOWN,"274,347","10,171",256,256,1,97,12,-1,111,280311,1
Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),160,Tee Grizzley,https://open.spotify.com/track/2HsSzwrvvgiYSCdsYLiJWB,MOVE_DOWN,"228,490","15,205",5,4,152,152,8,-1,196,207651,1
Let Me Down Slowly,184,Alec Benjamin,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,MOVE_DOWN,"207,817","14,135",149,2,33,180,4,-1,191,208931,1
Call You Mine (feat. Bebe Rexha),24,The Chainsmokers,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR,MOVE_UP,"588,552","20,110",19,19,20,26,-2,1,25,568689,1
Someone You Loved,55,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,MOVE_DOWN,"402,970",-988,33,33,30,52,3,-1,62,382346,1
Otro Trago,77,"Sech, Darell",https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,MOVE_DOWN,"345,306","5,740",33,33,67,74,3,-1,74,343041,1
Shallow,84,"Lady Gaga, Bradley Cooper",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,MOVE_DOWN,"321,121","3,911",255,175,6,81,3,-1,85,322515,1
Love Me Less (feat. Quinn XCII),86,MAX,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ,MOVE_UP,"320,597","25,022",44,44,61,97,-11,1,91,312396,1
Juice,102,Lizzo,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl,MOVE_UP,"296,673","29,943",61,61,57,117,-15,1,95,306765,1
Mo Bamba,111,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,MOVE_DOWN,"280,311","5,964",257,257,1,109,2,-1,107,282546,1
She Got the Best of Me,176,Luke Combs,https://open.spotify.com/track/698eQRku24PIYPQPHItKlA,MOVE_DOWN,"216,746","-1,819",83,25,146,173,3,-1,168,219213,1
Say You Won't Let Go,193,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,MOVE_DOWN,"208,603","1,646",661,2,14,189,4,-1,187,211229,1
Sucker,18,Jonas Brothers,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,SAME_POSITION,"689,216","-7,517",13,13,10,18,0,0,19,668150,1
ME! (feat. Brendon Urie of Panic! At The Disco),48,Taylor Swift,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw,MOVE_DOWN,"429,873","-30,894",31,31,20,38,10,-1,49,413969,1
you should see me in a crown,86,Billie Eilish,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d,MOVE_UP,"318,306","2,239",83,83,7,88,-2,1,88,320298,1
my strange addiction,105,Billie Eilish,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK,SAME_POSITION,"286,750","-4,789",83,83,9,105,0,0,108,285241,1
Leave Me Alone,124,Flipp Dinero,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,MOVE_UP,"268,344","1,277",288,288,10,125,-1,1,121,270808,1
CIVIL WAR - Bonus,153,Russ,https://open.spotify.com/track/5tmu5pAFHkUSl8Fo8ncyA4,MOVE_DOWN,"241,256","-12,758",26,23,94,141,12,-1,161,233441,1
Love Ain't,192,Eli Young Band,https://open.spotify.com/track/6lUNNXp7M8boA7gUEd6PSm,MOVE_UP,"209,094","2,210",18,5,138,198,-6,1,200,202658,1
EARFQUAKE,10,"Tyler, The Creator",https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,SAME_POSITION,"895,829","-18,351",35,35,1,10,0,0,14,916107,1
It's You,38,Ali Gatie,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,MOVE_UP,"473,889","31,388",7,7,38,42,-4,1,40,513458,1
SOS (feat. Aloe Blacc),83,Avicii,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,MOVE_DOWN,"328,595","-10,518",14,14,24,78,5,-1,103,330406,1
I Think I'm OKAY (with YUNGBLUD & Travis Barker),107,Machine Gun Kelly,https://open.spotify.com/track/6bWBLZLBRQEJ5KsLicouNB,MOVE_UP,"287,134","56,677",14,14,78,163,-56,1,111,320773,1
Loco Contigo (with J. Balvin & Tyga),113,"DJ Snake, J Balvin",https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo,MOVE_DOWN,"281,403","-8,680",7,7,53,103,10,-1,120,304873,1
I Like It,114,"Cardi B, Bad Bunny, J Balvin",https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,MOVE_UP,"281,200","6,836",441,441,2,116,-2,1,121,304134,1
Mine,173,Bazzi,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR,SAME_POSITION,"218,051","2,056",421,6,14,173,0,0,201,100000,0
She Got the Best of Me,182,Luke Combs,https://open.spotify.com/track/698eQRku24PIYPQPHItKlA,MOVE_DOWN,"212,937","-6,276",85,27,146,168,14,-1,163,260334,1
Beautiful (feat. Camila Cabello),197,Bazzi,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,MOVE_UP,"204,899",-600,290,2,28,199,-2,1,201,100000,0
Out The Mud,50,"Lil Baby, Future",https://open.spotify.com/track/2wZjsbwmWfNVslgV5afl1L,NEW_ENTRY,"470,593","370,593",1,1,50,201,-151,1,41,465412,1
Beer Never Broke My Heart,97,Luke Combs,https://open.spotify.com/track/5eDvChP4WAPPrtaQeI9MhT,MOVE_UP,"339,979","43,474",45,45,32,100,-3,1,79,351925,1
Taste (feat. Offset),117,Tyga,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt,MOVE_DOWN,"310,222",761,15,15,80,93,24,-1,106,305096,1
my strange addiction,141,Billie Eilish,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK,MOVE_DOWN,"276,281","-8,960",85,85,9,108,33,-1,156,249537,1
All the Time,145,Zara Larsson,https://open.spotify.com/track/3OTSBoYKO7HzGVj8Bu2OH9,NEW_ENTRY,"274,164","174,164",1,1,145,201,-56,1,201,100000,0
Hurricane,197,Luke Combs,https://open.spotify.com/track/6xHI9KjUjYT0FPtGO8Mxa1,MOVE_DOWN,"223,105","17,762",320,16,77,196,1,-1,187,217192,1
I Don't Care (with Justin Bieber),9,Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,MOVE_DOWN,"1,053,259","-115,457",44,44,1,8,1,-1,11,918413,1
Only Human,26,Jonas Brothers,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,MOVE_UP,"601,484","-76,048",16,16,6,27,-1,1,27,516659,1
Swervin (feat. 6ix9ine),27,A Boogie Wit da Hoodie,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,MOVE_UP,"597,318","-23,078",184,184,6,31,-4,1,26,535679,1
Drip Too Hard (Lil Baby & Gunna),42,Lil Baby,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,MOVE_UP,"464,483","-20,973",261,261,1,45,-3,1,40,430193,1
